Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Organization Website,Organization Location,Organization Industries,Lead Investors,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Secondary Market - Airbnb,https://www.crunchbase.com/funding_round/airbnb-secondary-market--1357636e,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",,Secondary Market,,,,2020-06-03
Debt Financing - Airbnb,https://www.crunchbase.com/funding_round/airbnb-debt-financing--efb32168,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",,Debt Financing,1000000000,USD,1000000000,2020-04-14
Private Equity Round - Airbnb,https://www.crunchbase.com/funding_round/airbnb-private-equity--e146e2b2,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations","Silver Lake, Sixth Street",Private Equity,1000000000,USD,1000000000,2020-04-06
Secondary Market - Airbnb,https://www.crunchbase.com/funding_round/airbnb-secondary-market--d76807f3,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",,Secondary Market,,,,2019-01-01
Secondary Market - Airbnb,https://www.crunchbase.com/funding_round/airbnb-secondary-market--f8863af0,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",,Secondary Market,,,,2018-09-05
Secondary Market - Airbnb,https://www.crunchbase.com/funding_round/airbnb-secondary-market--e20194a1,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",,Secondary Market,,,,2017-09-20
Series F - Airbnb,https://www.crunchbase.com/funding_round/airbnb-series-f--e7075227,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations","CapitalG, TCV",Series F,447800000,USD,447800000,2017-03-09
Secondary Market - Airbnb,https://www.crunchbase.com/funding_round/airbnb-secondary-market--a5438a07,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",,Secondary Market,,,,2016-10-17
Series F - Airbnb,https://www.crunchbase.com/funding_round/airbnb-series-f--b7e02f83,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations","CapitalG, TCV",Series F,555462100,USD,555462100,2016-09-22
Debt Financing - Airbnb,https://www.crunchbase.com/funding_round/airbnb-debt-financing--537cdd6f,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",JP Morgan Chase,Debt Financing,1000000000,USD,1000000000,2016-06-16
Series E - Airbnb,https://www.crunchbase.com/funding_round/airbnb-series-e--47de5082,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",FirstMark,Series E,100000000,USD,100000000,2015-11-20
Series E - Airbnb,https://www.crunchbase.com/funding_round/airbnb-series-e--8ab0470b,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations","General Atlantic, Hillhouse Capital Group, Tiger Global Management",Series E,1500000000,USD,1500000000,2015-06-28
Secondary Market - Airbnb,https://www.crunchbase.com/funding_round/airbnb-secondary-market--ed7fcaca,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",,Secondary Market,,,,2015-04-01
Series D - Airbnb,https://www.crunchbase.com/funding_round/airbnb-series-d--48ab76af,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",TPG Growth,Series D,475000000,USD,475000000,2014-04-16
Series C - Airbnb,https://www.crunchbase.com/funding_round/airbnb-series-c--fb9e4d00,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",Founders Fund,Series C,200000000,USD,200000000,2013-10-28
Series B - Airbnb,https://www.crunchbase.com/funding_round/airbnb-series-b--d2e9a4b6,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",Andreessen Horowitz,Series B,112000000,USD,112000000,2011-07-25
Series A - Airbnb,https://www.crunchbase.com/funding_round/airbnb-series-a--e5e53009,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations","Greylock, Sequoia Capital",Series A,7200000,USD,7200000,2010-11-10
Seed Round - Airbnb,https://www.crunchbase.com/funding_round/airbnb-seed--ba7b61b6,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",Sequoia Capital,Seed,600000,USD,600000,2009-04-01
Pre Seed Round - Airbnb,https://www.crunchbase.com/funding_round/airbnb-pre-seed--0ddb5b94,Airbnb,https://www.crunchbase.com/organization/airbnb,http://airbnb.com,"San Francisco, California, United States, North America","Hospitality, Marketplace, Mobile Apps, Reservations, Travel Accommodations",Y Combinator,Pre-Seed,20000,USD,20000,2009-01-01
