Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Organization Website,Organization Location,Organization Industries,Lead Investors,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - Rad AI,https://www.crunchbase.com/funding_round/radai-seed--6200f5dd,Rad AI,https://www.crunchbase.com/organization/radai,https://www.radai.com/,"Berkeley, California, United States, North America",Artificial Intelligence,,Seed,8000000,USD,8000000,2020-09-01
Seed Round - Rad AI,https://www.crunchbase.com/funding_round/radai-seed--eb3b4dab,Rad AI,https://www.crunchbase.com/organization/radai,https://www.radai.com/,"Berkeley, California, United States, North America",Artificial Intelligence,,Seed,,,,2020-08-20
Seed Round - Rad AI,https://www.crunchbase.com/funding_round/radai-seed--f3d58d32,Rad AI,https://www.crunchbase.com/organization/radai,https://www.radai.com/,"Berkeley, California, United States, North America",Artificial Intelligence,Gradient Ventures,Seed,4000000,USD,4000000,2019-11-26
Series A - Radius Networks,https://www.crunchbase.com/funding_round/radius-networks-series-a--7654e848,Radius Networks,https://www.crunchbase.com/organization/radius-networks,http://www.radiusnetworks.com,"Washington, District of Columbia, United States, North America","Analytics, Hardware, Information Technology, Software","Contour Venture Partners, Core Capital Partners, Pendrell Corporation",Series A,15000000,USD,15000000,2019-08-11
Seed Round - Rad AI,https://www.crunchbase.com/funding_round/radai-seed--c56f1619,Rad AI,https://www.crunchbase.com/organization/radai,https://www.radai.com/,"Berkeley, California, United States, North America",Artificial Intelligence,,Seed,,,,2018-04-09
Post-IPO Equity - Radisys,https://www.crunchbase.com/funding_round/radisys-post-ipo-equity--1dbbcc26,Radisys,https://www.crunchbase.com/organization/radisys,http://www.radisys.com,"Hillsboro, Oregon, United States, North America","Hardware, Software, Telecommunications, Wireless",Hale Capital,Post-IPO Equity,17000000,USD,17000000,2018-01-04
Seed Round - RadioCut,https://www.crunchbase.com/funding_round/radiocut-seed--f64832b9,RadioCut,https://www.crunchbase.com/organization/radiocut,https://radiocut.fm,"Buenos Aires, Distrito Federal, Argentina, South America","Digital Media, Internet Radio, Social Media",SOSV,Seed,,,,2017-12-06
Debt Financing - Radius Networks,https://www.crunchbase.com/funding_round/radius-networks-debt-financing--19c0d3b8,Radius Networks,https://www.crunchbase.com/organization/radius-networks,http://www.radiusnetworks.com,"Washington, District of Columbia, United States, North America","Analytics, Hardware, Information Technology, Software",,Debt Financing,2085000,USD,2085000,2015-09-09
Series D - Radius Intelligence,https://www.crunchbase.com/funding_round/radius-intelligence-inc-series-d--4f04f022,Radius Intelligence,https://www.crunchbase.com/organization/radius-intelligence-inc,http://radius.com/,"San Francisco, California, United States, North America","Advertising Platforms, Artificial Intelligence, B2B, Big Data, Data Integration, Database, Marketing, Predictive Analytics, SaaS, Software",Founders Fund,Series D,28700000,USD,28700000,2015-07-29
Series C - RadiumOne,https://www.crunchbase.com/funding_round/radiumone-series-c--9a32e40d,RadiumOne,https://www.crunchbase.com/organization/radiumone,http://www.radiumone.com,"San Francisco, California, United States, North America","Advertising, Big Data, SaaS, Software",Harmony Partners,Series C,54000000,USD,54000000,2015-06-30
Seed Round - Radius Networks,https://www.crunchbase.com/funding_round/radius-networks-seed--a16a2223,Radius Networks,https://www.crunchbase.com/organization/radius-networks,http://www.radiusnetworks.com,"Washington, District of Columbia, United States, North America","Analytics, Hardware, Information Technology, Software","Contour Venture Partners, Core Capital Partners, Trilogy Equity Partners",Seed,6475000,USD,6475000,2015-01-29
Post-IPO Debt - RadioShack,https://www.crunchbase.com/funding_round/radioshack-post-ipo-debt--3e4ee38e,RadioShack,https://www.crunchbase.com/organization/radioshack,http://www.radioshack.com,"Fort Worth, Texas, United States, North America","Consumer, Consumer Electronics, E-Commerce, Electronics, Retail, Retail Technology",,Post-IPO Debt,120000000,USD,120000000,2014-10-05
